sentence1,sentence2,score
Malware,Infotainment reverse engineering,0.1280560940504074
Malware,Insecure API endpoint,0.17634262144565582
Malware,ECU firmware dump,0.20499709248542786
Malware,Server violation,0.12035850435495377
Malware,V2X eavesdropping,0.11242261528968811
Malware,CAN bus flooding,0.22176852822303772
Malware,Smart key jamming,0.3318130671977997
Malware,Data loss,0.23903071880340576
Malware,V2X Denial of Service,0.047160711139440536
Malware,Infotainment Alteration,0.18832562863826752
Malware,Rogue OBD-II Device,0.1630120873451233
Malware,Insider Threat,0.36965739727020264
Malware,Web Application Vulnerabilities,0.41008633375167847
Malware,Operator-sided Data Leakage,0.2487233430147171
Malware,Insufficient Data Breach Response,0.10025238990783691
Malware,Consent on Everything / Problems with getting Consent,0.018323512747883797
Malware,"Non-transparent Policies, Agreements, Terms and Conditions",0.06818331778049469
Malware,Insufficient Deletion of User Data,0.19979135692119598
Malware,Insufficient Data Quality,0.1869337111711502
Malware,Missing or Insufficient Session Expiration,0.12521937489509583
Malware,Inability of users to access and modify data,0.13971827924251556
Malware,Collection of data not required for the user-consented purpose,0.15199804306030273
Malware,Insufficient Data Structure Model to handle user rights,0.0026927629951387644
Malware,Sharing of Data with 3rd Party,0.01624624989926815
Malware,"Inappropriate Policies, Terms and Conditions",0.0676090195775032
Malware,Insecure Data Transfer,0.19551844894886017
Malware,Transfer or Processing through 3rd Party,0.07089749723672867
Malware,Misleading Content,0.4002689719200134
Malware,Collection without Consent,0.032798271626234055
Malware,Data Aggregation and Profiling,0.11865074932575226
Malware,Secondary Use,0.18986134231090546
Malware,Form field design issues,0.02167879417538643
Manipulation of hardware and software,Manipulation of information,0.6555207371711731
Manipulation of hardware and software,Threats targeting autonomous sensors,0.3786950707435608
Manipulation of hardware and software,Threats against AI and ML,0.11949940025806427
Manipulation of hardware and software,Failure or malfunction of a sensor/actuator,0.262902170419693
Manipulation of hardware and software,Vandalism,0.41967806220054626
Manipulation of hardware and software,Network outage,0.07375191152095795
Manipulation of hardware and software,OEM Targeted attacks,0.20457333326339722
Manipulation of hardware and software,Unauthorised activities,0.33264145255088806
Manipulation of hardware and software,Identity theft,0.42932650446891785
Manipulation of hardware and software,Abuse of authorizations,0.36156681180000305
Manipulation of hardware and software,Sabotage,0.25194281339645386
Manipulation of hardware and software,Theft,0.4246493875980377
Manipulation of hardware and software,Side-channel attacks,0.23494437336921692
Manipulation of hardware and software,Fault injection,0.2550249993801117
Manipulation of hardware and software,Software vulnerabilities exploitation,0.5897517800331116
Manipulation of hardware and software,Failure or Disruption of service,0.014250700362026691
Manipulation of hardware and software,Communication protocol hijacking,0.42992904782295227
Manipulation of hardware and software,Data replay,0.2057318538427353
Manipulation of hardware and software,Man-in-the-middle attack / Session hijacking,0.43348461389541626
Manipulation of hardware and software,Unintentional change of data or car components configuration,0.2571891248226166
Manipulation of hardware and software,Information leakage,0.26490652561187744
Manipulation of hardware and software,Using information and/or devices from an unreliable source,0.45807525515556335
Manipulation of hardware and software,Erroneous use or configuration of car components,0.3271200656890869
Manipulation of hardware and software,Failure to meet contractual requirements,0.05007608234882355
Manipulation of hardware and software,Violation of rules and regulations/Breach of legislation/ Abuse of personal data,0.42428672313690186
Manipulation of hardware and software,Loss of GNSS signal,0.12281534820795059
Manipulation of hardware and software,Car depleted battery,0.13514815270900726
Manipulation of hardware and software,Attacker injects CAN messages/codes via any ECUs connected to the bus.,0.5052545070648193
Manipulation of hardware and software,Attacker modifies the path of the sensitive data circulating in the vehicle.,0.38201552629470825
Manipulation of hardware and software,Attacker remotely accesses via telematics systems (TCU).,0.4982559382915497
Manipulation of hardware and software,"An adversary can capture, analyze, and replaye the messages.",0.40823543071746826
Manipulation of hardware and software,An adversary could link the messages to a specific vehicle.,0.3926907479763031
Manipulation of hardware and software,An adversary can crack a weak password.,0.47847238183021545
Manipulation of hardware and software,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.5817248821258545
Manipulation of hardware and software,The SS7 vulnerabilities can be exploited to compromise SMS system to intercept text user messages.,0.406026154756546
Manipulation of hardware and software,"Spying, SMS Interception & Modification, User Tracking.",0.4085676670074463
Manipulation of hardware and software,"Attacker can edit, add, manipuler codes and framework of the must ECUs in the vehcles.",0.35304173827171326
Manipulation of hardware and software,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",0.5828400254249573
Manipulation of hardware and software,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.501897394657135
Manipulation of hardware and software,Attacker operates phisically on the TC by tampering the device firmware.,0.5665547847747803
Manipulation of hardware and software,An attacker could perform remote control by installing remotely his own software on the device.,0.575560986995697
Manipulation of hardware and software,Reprogramming the USB/CD device's firmware to execute malicious actions.,0.5017215609550476
Manipulation of hardware and software,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.5762535929679871
Manipulation of hardware and software,An adversary can identify or track the vehicle from the sensor.,0.35161489248275757
Manipulation of hardware and software,"For wireless communication channel, messages can be captured, analyze, and replayed.",0.25566092133522034
Manipulation of hardware and software,Possibility to discover and control the behaviour and profile of the driver.,0.33969515562057495
Manipulation of hardware and software,An adversary relates pseudonymous positions to specific vehicles.,0.43766555190086365
Manipulation of hardware and software,Mobile App spoofing,0.42920824885368347
Manipulation of hardware and software,Smart key bruteforcing,0.3898405134677887
Manipulation of hardware and software,Smart key cloning,0.31082603335380554
Manipulation of hardware and software,GPS spoofing,0.32227620482444763
Manipulation of hardware and software,V2X Message replay,0.19915498793125153
Manipulation of hardware and software,Infotainment malware,0.5057837963104248
Manipulation of hardware and software,Mobile App malware,0.4658963978290558
Manipulation of hardware and software,ECU reflash,0.05527493730187416
Manipulation of hardware and software,CAN frame injection,0.26064538955688477
Manipulation of hardware and software,CAN frame tampering,0.43934983015060425
Manipulation of hardware and software,V2X data tampering,0.49081745743751526
Manipulation of hardware and software,CAN eavesdropping,0.32888713479042053
Manipulation of hardware and software,Unauthorised diagnostic access,0.24203023314476013
Manipulation of hardware and software,Infotainment reverse engineering,0.3209417462348938
Manipulation of hardware and software,Insecure API endpoint,0.2391223907470703
Manipulation of hardware and software,ECU firmware dump,0.2850436866283417
Manipulation of hardware and software,Server violation,0.21503585577011108
Manipulation of hardware and software,V2X eavesdropping,0.28402695059776306
Manipulation of hardware and software,CAN bus flooding,0.19927264750003815
Manipulation of hardware and software,Smart key jamming,0.4125019609928131
Manipulation of hardware and software,Data loss,0.1465623676776886
Manipulation of hardware and software,V2X Denial of Service,0.09394132345914841
Manipulation of hardware and software,Infotainment Alteration,0.21160519123077393
Manipulation of hardware and software,Rogue OBD-II Device,0.26652878522872925
Manipulation of hardware and software,Insider Threat,0.48385438323020935
Manipulation of hardware and software,Web Application Vulnerabilities,0.38965195417404175
Manipulation of hardware and software,Operator-sided Data Leakage,0.4649794399738312
Manipulation of hardware and software,Insufficient Data Breach Response,0.09446316212415695
Manipulation of hardware and software,Consent on Everything / Problems with getting Consent,0.08710842579603195
Manipulation of hardware and software,"Non-transparent Policies, Agreements, Terms and Conditions",0.18176528811454773
Manipulation of hardware and software,Insufficient Deletion of User Data,0.23729956150054932
Manipulation of hardware and software,Insufficient Data Quality,0.12688308954238892
Manipulation of hardware and software,Missing or Insufficient Session Expiration,0.16947858035564423
Manipulation of hardware and software,Inability of users to access and modify data,0.20320013165473938
Manipulation of hardware and software,Collection of data not required for the user-consented purpose,0.26573440432548523
Manipulation of hardware and software,Insufficient Data Structure Model to handle user rights,0.11690759658813477
Manipulation of hardware and software,Sharing of Data with 3rd Party,0.21124492585659027
Manipulation of hardware and software,"Inappropriate Policies, Terms and Conditions",0.17026285827159882
Manipulation of hardware and software,Insecure Data Transfer,0.2198854684829712
Manipulation of hardware and software,Transfer or Processing through 3rd Party,0.2247987538576126
Manipulation of hardware and software,Misleading Content,0.35494470596313477
Manipulation of hardware and software,Collection without Consent,0.12534752488136292
Manipulation of hardware and software,Data Aggregation and Profiling,0.17087088525295258
Manipulation of hardware and software,Secondary Use,0.20546631515026093
Manipulation of hardware and software,Form field design issues,0.03292321041226387
Manipulation of information,Threats targeting autonomous sensors,0.32466086745262146
Manipulation of information,Threats against AI and ML,0.16007103025913239
Manipulation of information,Failure or malfunction of a sensor/actuator,0.21484391391277313
Manipulation of information,Vandalism,0.5042170286178589
Manipulation of information,Network outage,0.17944657802581787
Manipulation of information,OEM Targeted attacks,0.11043600738048553
Manipulation of information,Unauthorised activities,0.38985443115234375
Manipulation of information,Identity theft,0.501778781414032
Manipulation of information,Abuse of authorizations,0.42749783396720886
Manipulation of information,Sabotage,0.40193575620651245
Manipulation of information,Theft,0.5737058520317078
Manipulation of information,Side-channel attacks,0.26094725728034973
Manipulation of information,Fault injection,0.18051406741142273
Manipulation of information,Software vulnerabilities exploitation,0.44732165336608887
Manipulation of information,Failure or Disruption of service,0.122698575258255
Manipulation of information,Communication protocol hijacking,0.5395131707191467
Manipulation of information,Data replay,0.33473482728004456
Manipulation of information,Man-in-the-middle attack / Session hijacking,0.39500218629837036
Manipulation of information,Unintentional change of data or car components configuration,0.2919974625110626
Manipulation of information,Information leakage,0.535394549369812
Manipulation of information,Using information and/or devices from an unreliable source,0.5142418742179871
Manipulation of information,Erroneous use or configuration of car components,0.27178892493247986
Manipulation of information,Failure to meet contractual requirements,0.1225440725684166
Manipulation of information,Violation of rules and regulations/Breach of legislation/ Abuse of personal data,0.5120263695716858
Manipulation of information,Loss of GNSS signal,0.18986555933952332
Manipulation of information,Car depleted battery,0.14134252071380615
Manipulation of information,Attacker injects CAN messages/codes via any ECUs connected to the bus.,0.3764030337333679
Manipulation of information,Attacker modifies the path of the sensitive data circulating in the vehicle.,0.3905106484889984
Manipulation of information,Attacker remotely accesses via telematics systems (TCU).,0.3642473816871643
Manipulation of information,"An adversary can capture, analyze, and replaye the messages.",0.4274594187736511
Manipulation of information,An adversary could link the messages to a specific vehicle.,0.273712158203125
Manipulation of information,An adversary can crack a weak password.,0.4034360349178314
Manipulation of information,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.38971957564353943
Manipulation of information,The SS7 vulnerabilities can be exploited to compromise SMS system to intercept text user messages.,0.4195132255554199
Manipulation of information,"Spying, SMS Interception & Modification, User Tracking.",0.41967374086380005
Manipulation of information,"Attacker can edit, add, manipuler codes and framework of the must ECUs in the vehcles.",0.1824275255203247
Manipulation of information,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",0.3640536963939667
Manipulation of information,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.5266909003257751
Manipulation of information,Attacker operates phisically on the TC by tampering the device firmware.,0.4887283742427826
Manipulation of information,An attacker could perform remote control by installing remotely his own software on the device.,0.39251551032066345
Manipulation of information,Reprogramming the USB/CD device's firmware to execute malicious actions.,0.37024614214897156
Manipulation of information,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.3918004035949707
Manipulation of information,An adversary can identify or track the vehicle from the sensor.,0.3181954026222229
Manipulation of information,"For wireless communication channel, messages can be captured, analyze, and replayed.",0.32156798243522644
Manipulation of information,Possibility to discover and control the behaviour and profile of the driver.,0.30615031719207764
Manipulation of information,An adversary relates pseudonymous positions to specific vehicles.,0.3569272458553314
Manipulation of information,Mobile App spoofing,0.5756605863571167
Manipulation of information,Smart key bruteforcing,0.3468364179134369
Manipulation of information,Smart key cloning,0.2568528652191162
Manipulation of information,GPS spoofing,0.41842958331108093
Manipulation of information,V2X Message replay,0.1715838462114334
Manipulation of information,Infotainment malware,0.3312777578830719
Manipulation of information,Mobile App malware,0.49363404512405396
Manipulation of information,ECU reflash,0.10659411549568176
Manipulation of information,CAN frame injection,0.17771250009536743
Manipulation of information,CAN frame tampering,0.506798267364502
Manipulation of information,V2X data tampering,0.4841972887516022
Manipulation of information,CAN eavesdropping,0.31727179884910583
Manipulation of information,Unauthorised diagnostic access,0.20650114119052887
Manipulation of information,Infotainment reverse engineering,0.23976477980613708
Manipulation of information,Insecure API endpoint,0.23028403520584106
Manipulation of information,ECU firmware dump,0.16861273348331451
Manipulation of information,Server violation,0.21344338357448578
Manipulation of information,V2X eavesdropping,0.1966133713722229
Manipulation of information,CAN bus flooding,0.14400650560855865
Manipulation of information,Smart key jamming,0.36706578731536865
Manipulation of information,Data loss,0.2911534607410431
Manipulation of information,V2X Denial of Service,0.03559671342372894
Manipulation of information,Infotainment Alteration,0.17076662182807922
Manipulation of information,Rogue OBD-II Device,0.20738384127616882
Manipulation of information,Insider Threat,0.39845389127731323
Manipulation of information,Web Application Vulnerabilities,0.305265873670578
Manipulation of information,Operator-sided Data Leakage,0.5104640126228333
Manipulation of information,Insufficient Data Breach Response,0.20555053651332855
Manipulation of information,Consent on Everything / Problems with getting Consent,0.07737371325492859
Manipulation of information,"Non-transparent Policies, Agreements, Terms and Conditions",0.18474286794662476
Manipulation of information,Insufficient Deletion of User Data,0.2434459924697876
Manipulation of information,Insufficient Data Quality,0.24993939697742462
Manipulation of information,Missing or Insufficient Session Expiration,0.1389911025762558
Manipulation of information,Inability of users to access and modify data,0.26901623606681824
Manipulation of information,Collection of data not required for the user-consented purpose,0.3389856517314911
Manipulation of information,Insufficient Data Structure Model to handle user rights,0.22046063840389252
Manipulation of information,Sharing of Data with 3rd Party,0.3413105309009552
Manipulation of information,"Inappropriate Policies, Terms and Conditions",0.18957874178886414
Manipulation of information,Insecure Data Transfer,0.36602911353111267
Manipulation of information,Transfer or Processing through 3rd Party,0.3061258792877197
Manipulation of information,Misleading Content,0.6236312985420227
Manipulation of information,Collection without Consent,0.22277048230171204
Manipulation of information,Data Aggregation and Profiling,0.2888004779815674
Manipulation of information,Secondary Use,0.2881320118904114
Manipulation of information,Form field design issues,0.09707418084144592
Threats targeting autonomous sensors,Threats against AI and ML,0.40246689319610596
Threats targeting autonomous sensors,Failure or malfunction of a sensor/actuator,0.35272178053855896
Threats targeting autonomous sensors,Vandalism,0.35186469554901123
Threats targeting autonomous sensors,Network outage,0.17716924846172333
Threats targeting autonomous sensors,OEM Targeted attacks,0.31076478958129883
Threats targeting autonomous sensors,Unauthorised activities,0.19884778559207916
Threats targeting autonomous sensors,Identity theft,0.3830370008945465
Threats targeting autonomous sensors,Abuse of authorizations,0.28346216678619385
Threats targeting autonomous sensors,Sabotage,0.29805025458335876
Threats targeting autonomous sensors,Theft,0.2596060335636139
Threats targeting autonomous sensors,Side-channel attacks,0.38208088278770447
Threats targeting autonomous sensors,Fault injection,0.26260021328926086
Threats targeting autonomous sensors,Software vulnerabilities exploitation,0.39981257915496826
Threats targeting autonomous sensors,Failure or Disruption of service,0.10954231023788452
Threats targeting autonomous sensors,Communication protocol hijacking,0.21180352568626404
Threats targeting autonomous sensors,Data replay,0.17284660041332245
Threats targeting autonomous sensors,Man-in-the-middle attack / Session hijacking,0.07149720937013626
Threats targeting autonomous sensors,Unintentional change of data or car components configuration,0.20834524929523468
Threats targeting autonomous sensors,Information leakage,0.3190687894821167
Threats targeting autonomous sensors,Using information and/or devices from an unreliable source,0.44028061628341675
Threats targeting autonomous sensors,Erroneous use or configuration of car components,0.24991294741630554
Threats targeting autonomous sensors,Failure to meet contractual requirements,0.020686622709035873
Threats targeting autonomous sensors,Violation of rules and regulations/Breach of legislation/ Abuse of personal data,0.29709798097610474
Threats targeting autonomous sensors,Loss of GNSS signal,0.12856975197792053
Threats targeting autonomous sensors,Car depleted battery,0.1844983696937561
Threats targeting autonomous sensors,Attacker injects CAN messages/codes via any ECUs connected to the bus.,0.3713856041431427
Threats targeting autonomous sensors,Attacker modifies the path of the sensitive data circulating in the vehicle.,0.41935068368911743
Threats targeting autonomous sensors,Attacker remotely accesses via telematics systems (TCU).,0.5249170660972595
Threats targeting autonomous sensors,"An adversary can capture, analyze, and replaye the messages.",0.36953920125961304
Threats targeting autonomous sensors,An adversary could link the messages to a specific vehicle.,0.38233253359794617
Threats targeting autonomous sensors,An adversary can crack a weak password.,0.3159487843513489
Threats targeting autonomous sensors,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.47374528646469116
Threats targeting autonomous sensors,The SS7 vulnerabilities can be exploited to compromise SMS system to intercept text user messages.,0.3813328146934509
Threats targeting autonomous sensors,"Spying, SMS Interception & Modification, User Tracking.",0.3353870213031769
Threats targeting autonomous sensors,"Attacker can edit, add, manipuler codes and framework of the must ECUs in the vehcles.",0.21890662610530853
Threats targeting autonomous sensors,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",0.4495280981063843
Threats targeting autonomous sensors,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.46657347679138184
Threats targeting autonomous sensors,Attacker operates phisically on the TC by tampering the device firmware.,0.3130393624305725
Threats targeting autonomous sensors,An attacker could perform remote control by installing remotely his own software on the device.,0.4412384331226349
Threats targeting autonomous sensors,Reprogramming the USB/CD device's firmware to execute malicious actions.,0.2929093837738037
Threats targeting autonomous sensors,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.4375806152820587
Threats targeting autonomous sensors,An adversary can identify or track the vehicle from the sensor.,0.45034101605415344
Threats targeting autonomous sensors,"For wireless communication channel, messages can be captured, analyze, and replayed.",0.2686862349510193
Threats targeting autonomous sensors,Possibility to discover and control the behaviour and profile of the driver.,0.3740127980709076
Threats targeting autonomous sensors,An adversary relates pseudonymous positions to specific vehicles.,0.46713516116142273
Threats targeting autonomous sensors,Mobile App spoofing,0.34258028864860535
Threats targeting autonomous sensors,Smart key bruteforcing,0.2941953241825104
Threats targeting autonomous sensors,Smart key cloning,0.3362502455711365
Threats targeting autonomous sensors,GPS spoofing,0.23074179887771606
Threats targeting autonomous sensors,V2X Message replay,0.14440228044986725
Threats targeting autonomous sensors,Infotainment malware,0.3660331964492798
Threats targeting autonomous sensors,Mobile App malware,0.44089242815971375
Threats targeting autonomous sensors,ECU reflash,-0.04051828756928444
Threats targeting autonomous sensors,CAN frame injection,0.2107456475496292
Threats targeting autonomous sensors,CAN frame tampering,0.2700727880001068
Threats targeting autonomous sensors,V2X data tampering,0.197025328874588
Threats targeting autonomous sensors,CAN eavesdropping,0.4146805703639984
Threats targeting autonomous sensors,Unauthorised diagnostic access,0.18344871699810028
Threats targeting autonomous sensors,Infotainment reverse engineering,0.26475030183792114
Threats targeting autonomous sensors,Insecure API endpoint,0.4590224623680115
Threats targeting autonomous sensors,ECU firmware dump,0.12074214965105057
Threats targeting autonomous sensors,Server violation,0.17280536890029907
Threats targeting autonomous sensors,V2X eavesdropping,0.26743531227111816
Threats targeting autonomous sensors,CAN bus flooding,0.18810805678367615
Threats targeting autonomous sensors,Smart key jamming,0.34362322092056274
Threats targeting autonomous sensors,Data loss,0.21567627787590027
